AC	Gene name	PTHR 	Family name	Notes	Action annotation reviewer	GO term added 	PAINT 	Pascale/Li/Marc comments	Lost in Panther 19
Q96B33	CLDN23	PTHR12002	claudin pthr12002		Already had a valid annotation		No relevant data	MAF: Not all are channels, has to be annotated node by node	#N/A
Q9Y5I7	CLDN16	PTHR12002	claudin pthr12002		Already had a valid annotation		DONE		#N/A
O95500	CLDN14	PTHR12002	claudin pthr12002		Already had a valid annotation		No relevant data	MAF: Not all are channels, has to be annotated node by node	#N/A
O95484	CLDN9	PTHR12002	claudin pthr12002		Already had a valid annotation		DONE		#N/A
O95471	CLDN7	PTHR12002	claudin pthr12002		Already had a valid annotation		No relevant data	MAF: Not all are channels, has to be annotated node by node	#N/A
P57739	CLDN2	PTHR12002	claudin pthr12002	paracellular tight junction channel activity. IDA	Already had a valid annotation		DONE		#N/A
H7C241	CLDN34	PTHR12002	claudin pthr12002		Already had a valid annotation		No relevant data	MAF: Not all are channels, has to be annotated node by node	#N/A
C9JDP6	CLDN25	PTHR12002	claudin pthr12002		Already had a valid annotation		DONE		#N/A
Q8N6F1	CLDN19	PTHR12002	claudin pthr12002		Already had a valid annotation		DONE		#N/A
O14493	CLDN4	PTHR12002	claudin pthr12002		Already had a valid annotation		No relevant data	MAF: Not all are channels, has to be annotated node by node	#N/A
P56880	CLDN20	PTHR12002	claudin pthr12002		Already had a valid annotation		No relevant data	MAF: Not all are channels, has to be annotated node by node	#N/A
P56856	CLDN18	PTHR12002	claudin pthr12002		Already had a valid annotation		No relevant data	MAF: Not all are channels, has to be annotated node by node	#N/A
P56750	CLDN17	PTHR12002	claudin pthr12002	paracellular tight junction channel activity. IDA	Already had a valid annotation		DONE		#N/A
P56748	CLDN8	PTHR12002	claudin pthr12002		Already had a valid annotation		DONE		#N/A
P56746	CLDN15	PTHR12002	claudin pthr12002		Already had a valid annotation		DONE		#N/A
O95832	CLDN1	PTHR12002	claudin pthr12002		Already had a valid annotation		DONE		#N/A
Q14641	INSL4	PTHR12004	relaxin pthr12004		No data found				#N/A
P04090	RLN2	PTHR12004	relaxin pthr12004		No data found				#N/A
P04808	RLN1	PTHR12004	relaxin pthr12004		No data found				#N/A
Q9Y581	INSL6	PTHR12004	relaxin pthr12004		No data found				#N/A
P37108	SRP14	PTHR12013	signal recognition particle 14 kd protein pthr12013	RNA binding HDA	Only binding annotation				#N/A
Q68G75	LEMD1	PTHR12019	lamina-associated polypeptide  thymopoietin pthr12019		No data found				#N/A
P42166	TMPO	PTHR12019	lamina-associated polypeptide  thymopoietin pthr12019		No data found				#N/A
P14927	UQCRB	PTHR12022	ubiquinol-cytochrome c reductase complex 14 kd protein pthr12022	yeast QCR7 ubiquinol-cytochrome-c reductase activity IMP	Already had a valid annotation		No relevant data	MAF: Not a catalytic subunit.	#N/A
O43521	BCL2L11	PTHR12044	bcl2 interacting mediator of cell death pthr12044	no data	skip				#N/A
Q6UWF3	SCIMP	PTHR12044	bcl2 interacting mediator of cell death pthr12044	mouse molecular adaptor activity IMP	skip				#N/A
Q5TIA1	MEI1	PTHR12044	bcl2 interacting mediator of cell death pthr12044	no data	skip				#N/A
Q8N6M5	ALLC	PTHR12045	allantoicase pthr12045						#N/A
O15360	FANCA	PTHR12047	fanconi anemia group a protein pthr12047						#N/A
Q03701	CEBPZ	PTHR12048	ccaat-binding factor-related pthr12048						#N/A
O15243	LEPROT	PTHR12050	leptin receptor-related pthr12050						#N/A
O95214	LEPROTL1	PTHR12050	leptin receptor-related pthr12050						#N/A
Q9NX01	TXNL4B	PTHR12052	thioredoxin-like proten 4a, 4b pthr12052						#N/A
P83876	TXNL4A	PTHR12052	thioredoxin-like proten 4a, 4b pthr12052						#N/A
O00592	PODXL	PTHR12067	podocalyxin pthr12067						#N/A
Q9NVU0	POLR3E	PTHR12069	dna-directed rna polymerases iii 80 kda polypeptide  rna polymerase iii subunit 5 pthr12069						#N/A
Q2TBE0	CWF19L2	PTHR12072	cwf19, cell cycle control protein pthr12072						#N/A
Q3KPI0	CEACAM21	PTHR12080	signaling lymphocytic activation molecule pthr12080	no data	skip				#N/A
A8MXK1	VSTM5	PTHR12080	signaling lymphocytic activation molecule pthr12080	no data	skip				#N/A
P09326	CD48	PTHR12080	signaling lymphocytic activation molecule pthr12080	receptor ligand activity IDA	skip				#N/A
Q9HBG7	LY9	PTHR12080	signaling lymphocytic activation molecule pthr12080	no data	skip				#N/A
Q96A28	SLAMF9	PTHR12080	signaling lymphocytic activation molecule pthr12080	no data	skip				#N/A
Q9NQ25	SLAMF7	PTHR12080	signaling lymphocytic activation molecule pthr12080	no data	skip				#N/A
Q14CZ8	HEPACAM	PTHR12080	signaling lymphocytic activation molecule pthr12080	no data	skip				#N/A
Q9UIB8	CD84	PTHR12080	signaling lymphocytic activation molecule pthr12080	no data	skip				#N/A
Q96DU3	SLAMF6	PTHR12080	signaling lymphocytic activation molecule pthr12080	no data	skip				#N/A
Q969Q6	PPP2R3C	PTHR12085	serine/threonine-protein phosphatase 2a regulatory subunit b'' subunit gamma pthr12085		No data found				#N/A
Q5JST6	EFHC2	PTHR12086	ef-hand domain  c-terminal  containing protein pthr12086		IGNORE - Lost in Panther19		Will be done by Marc		PTHR12086
Q8N7U6	EFHB	PTHR12086	ef-hand domain  c-terminal  containing protein pthr12086		IGNORE - Lost in Panther19		Will be done by Marc		PTHR12086
P08567	PLEK	PTHR12092	pleckstrin pthr12092		Only binding annotation				#N/A
Q9NYT0	PLEK2	PTHR12092	pleckstrin pthr12092		Only binding annotation				#N/A
P55160	NCKAP1L	PTHR12093	nck-associated protein 1 pthr12093						#N/A
Q9Y2A7	NCKAP1	PTHR12093	nck-associated protein 1 pthr12093						#N/A
Q13573	SNW1	PTHR12096	nuclear protein skip-related pthr12096						#N/A
O00471	EXOC5	PTHR12100	sec10 pthr12100						#N/A
Q9UPU3	SORCS3	PTHR12106	sortilin related pthr12106		Already had a valid annotation		DONE		#N/A
Q8WY21	SORCS1	PTHR12106	sortilin related pthr12106		Already had a valid annotation		DONE		#N/A
Q92673	SORL1	PTHR12106	sortilin related pthr12106	transmembrane signaling receptor activity. IDA	Already had a valid annotation		DONE		#N/A
Q99523	SORT1	PTHR12106	sortilin related pthr12106		Already had a valid annotation		DONE		#N/A
Q96PQ0	SORCS2	PTHR12106	sortilin related pthr12106		Already had a valid annotation		DONE		#N/A
Q9BW85	YJU2	PTHR12111	splicing factor yju2 pthr12111	yeast YJU2 first spliceosomal transesterification activity IDA	Already had a valid annotation		DONE		#N/A
P13994	YJU2B	PTHR12111	splicing factor yju2 pthr12111		Already had a valid annotation		Evidence too weak	Duplication, function might have evolved.	#N/A
Q7Z465	BNIPL	PTHR12112	bnip - related pthr12112						#N/A
Q8WUY3	PRUNE2	PTHR12112	bnip - related pthr12112						#N/A
Q86WG3	ATCAY	PTHR12112	bnip - related pthr12112						#N/A
Q12982	BNIP2	PTHR12112	bnip - related pthr12112						#N/A
O14949	UQCRQ	PTHR12119	ubiquinol-cytochrome c reductase complex ubiquinone-binding protein qp-c pthr12119						#N/A
P18545	PDE6G	PTHR12122	retinal cone rhodopsin-sensitive cgmp 3',5'-cyclic phosphodiesterase gamma-subunit-related pthr12122		No data found				#N/A
Q13956	PDE6H	PTHR12122	retinal cone rhodopsin-sensitive cgmp 3',5'-cyclic phosphodiesterase gamma-subunit-related pthr12122		No data found				#N/A
P43351	RAD52	PTHR12132	dna repair and recombination protein rad52, rad59 pthr12132						#N/A
Q9BVS5	TRMT61B	PTHR12133	trna (adenine(58)-n(1))-methyltransferase pthr12133	mRNA (adenine-N1-)-methyltransferase activity IDA; rRNA (adenine) methyltransferase activity IMP; tRNA (adenine(58)-N1)-methyltransferase activity IDA	Already had a valid annotation		DONE	PAINT GO:0008173 RNA methyltransferase activity	#N/A
Q96FX7	TRMT61A	PTHR12133	trna (adenine(58)-n(1))-methyltransferase pthr12133	human mRNA (adenine-N1-)-methyltransferase activity IDA; YEAST GCD14 tRNA (adenine(58)-N1)-methyltransferase activity IDA	Already had a valid annotation		DONE		#N/A
Q96T75	DSCR8	PTHR12138	primate-expanded protein family pthr12138						#N/A
Q7Z2K6	ERMP1	PTHR12147	metallopeptidase m28 family member pthr12147		No data found				#N/A
O43819	SCO2	PTHR12151	electron transport protin sco1/senc family member pthr12151						#N/A
O75880	SCO1	PTHR12151	electron transport protin sco1/senc family member pthr12151						#N/A
Q9BVL4	SELENOO	PTHR12153	selenoprotein o pthr12153						#N/A
Q96F25	ALG14	PTHR12154	glycosyl transferase-related pthr12154						#N/A
Q6IEE8	SLFN12L	PTHR12155	schlafen pthr12155	no data	skip				#N/A
Q8IYM2	SLFN12	PTHR12155	schlafen pthr12155	RNA nuclease activity IDA	skip				#N/A
Q08AF3	SLFN5	PTHR12155	schlafen pthr12155	no data	skip				#N/A
Q499Z3	SLFNL1	PTHR12155	schlafen pthr12155	no data	skip				#N/A
Q86SQ0	PHLDB2	PTHR12156	pleckstrin homology-like domain, family b, member 3 pthr12156		IGNORE - Lost in Panther19		Will be done by Marc		PTHR12156
Q6NSJ2	PHLDB3	PTHR12156	pleckstrin homology-like domain, family b, member 3 pthr12156		IGNORE - Lost in Panther19		Will be done by Marc		PTHR12156
Q86UU1	PHLDB1	PTHR12156	pleckstrin homology-like domain, family b, member 3 pthr12156		IGNORE - Lost in Panther19		Will be done by Marc		PTHR12156
P53990	IST1	PTHR12161	ist1 family member pthr12161						#N/A
Q86UW7	CADPS2	PTHR12166	calcium-dependent secretion activator pthr12166		No data found				#N/A
Q9ULU8	CADPS	PTHR12166	calcium-dependent secretion activator pthr12166		No data found				#N/A
Q9GZP4	PITHD1	PTHR12175	ad039  ht014   thioredoxin family trp26 pthr12175						#N/A
Q8N6R0	METTL13	PTHR12176	sam-dependent methyltransferase superfamily protein pthr12176	 human and yeast protein-lysine N-methyltransferase activity IDA	Already had a valid annotation		DONE		#N/A
A8MUP2	CSKMT	PTHR12176	sam-dependent methyltransferase superfamily protein pthr12176	 human protein-lysine N-methyltransferase activity IDA	Already had a valid annotation		DONE		#N/A
P0DPD7	EEF1AKMT4	PTHR12176	sam-dependent methyltransferase superfamily protein pthr12176	 human protein-lysine N-methyltransferase activity IDA	Already had a valid annotation		DONE		#N/A
Q7Z6G3	NECAB2	PTHR12178	ef-hand domain-containing protein pthr12178						#N/A
Q96P71	NECAB3	PTHR12178	ef-hand domain-containing protein pthr12178						#N/A
Q8N987	NECAB1	PTHR12178	ef-hand domain-containing protein pthr12178						#N/A
Q9NVA1	UQCC1	PTHR12184	ubiquinol-cytochrome c reductase complex assembly factor 1 family member pthr12184		No data found				#N/A
Q9NVK5	FGFR1OP2	PTHR12186	sike family member pthr12186						#N/A
Q9BRV8	SIKE1	PTHR12186	sike family member pthr12186						#N/A
Q5BKZ1	ZNF326	PTHR12190	a-kinase anchor protein  akap  8 pthr12190						#N/A
Q9H7B4	SMYD3	PTHR12197	histone-lysine n-methyltransferase smyd pthr12197	histone H4 methyltransferase activity IMP	Already had a valid annotation		DONE	PAINT GO:0042054 histone methyltransferase activity	#N/A
Q9NRG4	SMYD2	PTHR12197	histone-lysine n-methyltransferase smyd pthr12197	protein-lysine N-methyltransferase activity IDA, mouse histone H3K36 methyltransferase activity IDA	Already had a valid annotation		DONE		#N/A
Q8NB12	SMYD1	PTHR12197	histone-lysine n-methyltransferase smyd pthr12197	worm set-18 histone H3K36 methyltransferase activity IDA , Zfin smyd1b histone H3K4 methyltransferase activity IDA	Already had a valid annotation		DONE		#N/A
Q17R60	IMPG1	PTHR12199	interphotoreceptor matrix proteoglycan pthr12199						#N/A
O43264	ZW10	PTHR12205	centromere/kinetochore protein zw10 pthr12205						#N/A
Q9P2B2	PTGFRN	PTHR12207	v-set and transmembrane domain-containing protein pthr12207	no data	skip				#N/A
Q8IW00	VSTM4	PTHR12207	v-set and transmembrane domain-containing protein pthr12207	no data	skip				#N/A
O75054	IGSF3	PTHR12207	v-set and transmembrane domain-containing protein pthr12207	no data	skip				#N/A
Q96N03	VSTM2L	PTHR12207	v-set and transmembrane domain-containing protein pthr12207	no data	skip				#N/A
A6NLU5	VSTM2B	PTHR12207	v-set and transmembrane domain-containing protein pthr12207	no data	skip				#N/A
Q8TAG5	VSTM2A	PTHR12207	v-set and transmembrane domain-containing protein pthr12207	no data	skip				#N/A
Q93033	CD101	PTHR12207	v-set and transmembrane domain-containing protein pthr12207	no data	skip				#N/A
Q969P0	IGSF8	PTHR12207	v-set and transmembrane domain-containing protein pthr12207	signaling receptor activity IDA	skip			not sure this is enough for PAINT ?	#N/A
Q3ZCQ8	TIMM50	PTHR12210	dullard protein phosphatase pthr12210						#N/A
P30040	ERP29	PTHR12211	endoplasmic reticulum protein erp29 pthr12211						#N/A
Q9Y5B6	PAXBP1	PTHR12214	gc-rich sequence dna-binding factor pthr12214						#N/A
P16383	GCFC2	PTHR12214	gc-rich sequence dna-binding factor pthr12214						#N/A
Q6P2C0	WDR93	PTHR12219	nadh-ubiquinone oxidoreductase pthr12219	no data	Already had a valid annotation		No relevant data	MAF: Nothing to annotate.	#N/A
O43181	NDUFS4	PTHR12219	nadh-ubiquinone oxidoreductase pthr12219	human and mouse NADH dehydrogenase (ubiquinone) activity IDA/IMP	Already had a valid annotation		No relevant data	MAF: Accessory subunit, so not catalytic...	#N/A
O75352	MPDU1	PTHR12226	mannose-p-dolichol utilization defect 1  lec35 -related pthr12226		No data found				#N/A
Q8N755	SLC66A3	PTHR12226	mannose-p-dolichol utilization defect 1  lec35 -related pthr12226		No data found				#N/A
Q9P232	CNTN3	PTHR12231	ctx-related type i transmembrane protein pthr12231						#N/A
O15394	NCAM2	PTHR12231	ctx-related type i transmembrane protein pthr12231						#N/A
P98160	HSPG2	PTHR12231	ctx-related type i transmembrane protein pthr12231						#N/A
Q9UPX0	IGSF9B	PTHR12231	ctx-related type i transmembrane protein pthr12231						#N/A
Q6UXZ0	TMIGD1	PTHR12231	ctx-related type i transmembrane protein pthr12231						#N/A
Q96BF3	TMIGD2	PTHR12231	ctx-related type i transmembrane protein pthr12231						#N/A
O75121	MFAP3L	PTHR12231	ctx-related type i transmembrane protein pthr12231						#N/A
Q9Y6N7	ROBO1	PTHR12231	ctx-related type i transmembrane protein pthr12231						#N/A
O00533	CHL1	PTHR12231	ctx-related type i transmembrane protein pthr12231						#N/A
P13591	NCAM1	PTHR12231	ctx-related type i transmembrane protein pthr12231						#N/A
Q9H299	SH3BGRL3	PTHR12232	sh3 domain-binding glutamic acid-rich-like protein pthr12232	protein-RNA adaptor activity IMP. ubiquitin-like ligase-substrate adaptor activity. IMP	Already had a valid annotation		No relevant data	PAINT protein-macromolecule adaptor activity? MAF: no, the function seems different	#N/A
P55822	SH3BGR	PTHR12232	sh3 domain-binding glutamic acid-rich-like protein pthr12232	no data	No data found		DONE	PAINT protein-macromolecule adaptor activity? MAF: yes	#N/A
Q9UJC5	SH3BGRL2	PTHR12232	sh3 domain-binding glutamic acid-rich-like protein pthr12232	no data	No data found		DONE	PAINT protein-macromolecule adaptor activity? MAF: yes	#N/A
O75368	SH3BGRL	PTHR12232	sh3 domain-binding glutamic acid-rich-like protein pthr12232	no data	No data found		DONE	PAINT protein-macromolecule adaptor activity? MAF: yes	#N/A
O75436	VPS26A	PTHR12233	vacuolar protein sorting 26 related pthr12233	fly Vps26 cargo receptor activity IPI; yeast PEP8 protein transporter activity IMP IPI	Already had a valid annotation		Evidence too weak	MAF: we do not know what's the role within the omplex	#N/A
Q4G0F5	VPS26B	PTHR12233	vacuolar protein sorting 26 related pthr12233		Already had a valid annotation		Evidence too weak	MAF: we do not know what's the role within the omplex	#N/A
O14972	VPS26C	PTHR12233	vacuolar protein sorting 26 related pthr12233		Already had a valid annotation		Evidence too weak	MAF: we do not know what's the role within the omplex	#N/A
O95954	FTCD	PTHR12234	formiminotransferase-cyclodeaminase pthr12234	human/rat glutamate formimidoyltransferase activity IDA RAT formimidoyltetrahydrofolate cyclodeaminase activity IDA	Already had a valid annotation		DONE	PAINT: glutamate formimidoyltransferase activity AND  formimidoyltetrahydrofolate cyclodeaminase activity 	#N/A
E5RQL4	FTCDNL1	PTHR12234	formiminotransferase-cyclodeaminase pthr12234		Already had a valid annotation		DONE	MAF: more genaral transferase activityto the root	#N/A
Q96A44	SPSB4	PTHR12245	spry domain containing socs box protein pthr12245	ubiquitin-like ligase-substrate adaptor activity. IPI	Already had a valid annotation		DONE		#N/A
P0C2W1	FBXO45	PTHR12245	spry domain containing socs box protein pthr12245	ubiquitin-like ligase-substrate adaptor activity. IDA	Already had a valid annotation		DONE		#N/A
Q96BD6	SPSB1	PTHR12245	spry domain containing socs box protein pthr12245	ubiquitin-like ligase-substrate adaptor activity. IPI	Already had a valid annotation		DONE		#N/A
Q99619	SPSB2	PTHR12245	spry domain containing socs box protein pthr12245	ubiquitin-like ligase-substrate adaptor activity. IPI	Already had a valid annotation		DONE		#N/A
Q6PJ21	SPSB3	PTHR12245	spry domain containing socs box protein pthr12245	ubiquitin-like ligase-substrate adaptor activity. IDA	Already had a valid annotation		DONE		#N/A
Q9NZ20	PLA2G3	PTHR12253	rh14732p pthr12253						#N/A
Q8NCQ7	PROCA1	PTHR12253	rh14732p pthr12253						#N/A
Q8TF65	GIPC2	PTHR12259	rgs-gaip interacting protein gipc pthr12259						#N/A
Q8TF64	GIPC3	PTHR12259	rgs-gaip interacting protein gipc pthr12259						#N/A
O14908	GIPC1	PTHR12259	rgs-gaip interacting protein gipc pthr12259						#N/A
Q92600	CNOT9	PTHR12262	uncharacterized pthr12262						#N/A
O15342	ATP6V0E1	PTHR12263	vacuolar atp synthase subunit h pthr12263	proton-transporting ATPase activity, rotational mechanism IGI	Already had a valid annotation		DONE	MAF: re-annotated with 'contributes_to'	#N/A
Q8NHE4	ATP6V0E2	PTHR12263	vacuolar atp synthase subunit h pthr12263	proton-transporting ATPase activity, rotational mechanism IGI	Already had a valid annotation		DONE	MAF: re-annotated with 'contributes_to'	#N/A
Q6P2H8	TMEM53	PTHR12265	uncharacterized pthr12265						#N/A
P11532	DMD	PTHR12268	e3 ubiquitin-protein ligase kcmf1 pthr12268	structural constituent of muscle IDA	in Swiss-Prot 300 protein list		Will be done by Marc		#N/A
A2CJ06	DYTN	PTHR12268	e3 ubiquitin-protein ligase kcmf1 pthr12268	no data	skip				#N/A
Q9P0J7	KCMF1	PTHR12268	e3 ubiquitin-protein ligase kcmf1 pthr12268		skip				#N/A
Q13474	DRP2	PTHR12268	e3 ubiquitin-protein ligase kcmf1 pthr12268	no data	skip				#N/A
